energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.597,0.1,110.001,0.0611,0.0788,5.66e-06,4,0.799,5,199849,-5.131,0.419,0,Maroon 5,What Lovers Do (feat. SZA),73,1
0.609,0.144,112.021,0.0702,0.00396,0.0162,4,0.906,7,385753,-10.554,0.361,0,Mas Musiq,Inhliziyo (feat. Babalwa M),48,1
0.662,0.126,84.006,0.0647,0.578,0.0,4,0.742,5,200000,-4.651,0.486,1,Đen,Đi Về Nhà,59,1
0.584,0.0673,140.011,0.0458,0.113,0.0103,4,0.847,9,200143,-6.289,0.596,0,Static & Ben El,אפס מאמץ,57,1
0.825,0.314,137.55,0.0271,0.0562,4.7e-06,4,0.606,9,215110,-5.363,0.809,1,HLH flokkurinn,"Nei, nei, ekki um jólin",35,1
0.0915,0.0926,146.165,0.0438,0.89,0.0,3,0.742,2,197137,-13.086,0.813,1,Hafdís Huld,Ljós,45,1
0.842,0.134,105.059,0.096,0.101,0.0,4,0.759,8,263253,-3.758,0.584,1,Jhay Cortez,Ley Seca,87,1
0.84,0.145,96.012,0.107,0.515,0.00452,4,0.77,11,270000,-4.022,0.192,1,King,Tu Aake Dekhle,78,1
0.727,0.0626,180.067,0.389,0.185,2.46e-05,4,0.783,6,199112,-3.454,0.558,0,Maluma,Hawái,81,1
0.655,0.393,139.712,0.159,0.425,0.0,4,0.436,7,154749,-8.153,0.523,1,Little Simz,Venom,72,1
0.914,0.444,139.955,0.0515,0.00422,1.4e-05,4,0.383,9,278947,-6.43,0.528,1,Wizzard,I Wish It Could Be Christmas Everyday,77,1
0.509,0.0808,199.989,0.489,0.306,0.00335,4,0.738,10,189611,-4.625,0.253,1,Letan,Funky de Antes,57,1
0.317,0.0881,140.048,0.334,0.592,0.0,4,0.778,1,178627,-10.732,0.327,0,Ariana Grande,7 rings,87,1
0.548,0.133,83.995,0.353,0.65,1.59e-06,4,0.709,10,160000,-8.493,0.543,1,Pop Smoke,What You Know Bout Love,85,1
0.377,0.0808,73.877,0.0443,0.733,0.0,4,0.605,11,194853,-6.213,0.519,1,Sam Fischer,This City,82,1
0.658,0.091,145.023,0.382,0.215,0.0,4,0.91,5,118797,-8.843,0.616,1,Ziak,Raspoutine,75,1
0.412,0.0884,130.203,0.0411,0.0421,2.03e-06,5,0.542,1,164203,-6.822,0.284,1,Ben Platt,imagine,69,1
0.4,0.0876,136.001,0.124,0.0501,0.0,4,0.9,0,197487,-8.443,0.338,1,Khalid,Talk,72,1
0.554,0.132,99.034,0.0383,0.207,0.0,4,0.774,0,162547,-7.909,0.349,1,Lil Mosey,Blueberry Faygo,80,1
0.646,0.0888,92.981,0.243,0.0424,0.0,4,0.647,9,201253,-5.483,0.721,0,Chris Brown,Back To Sleep,64,1
0.57,0.121,115.086,0.0636,0.267,0.0,4,0.745,3,208696,-10.411,0.539,0,Viktor Sheen,Až na měsíc,59,1
0.707,0.294,118.011,0.0307,0.331,0.0,4,0.806,7,209648,-4.623,0.746,1,iKON,LOVE SCENARIO,1,1
0.539,0.103,99.96,0.208,0.136,1.78e-06,4,0.829,11,149547,-7.359,0.388,0,Post Malone,Wow.,82,1
0.424,0.241,89.88,0.0381,0.396,0.0,4,0.605,9,208188,-8.012,0.463,0,Rasmus Seebach,Lille Store Verden,65,1
0.734,0.0756,140.004,0.0274,0.00462,0.0,4,0.688,9,208493,-4.569,0.46,1,P!nk,Who Knew,1,1
0.437,0.106,180.043,0.039,0.101,1.27e-06,4,0.258,11,239000,-6.593,0.0967,0,ZAYN,Dusk Till Dawn - Radio Edit,81,1
0.321,0.148,139.233,0.0313,0.684,0.0,4,0.616,8,225818,-5.505,0.287,1,Sigrid,Home To You (This Christmas),65,1
0.687,0.12,120.058,0.348,0.182,0.000958,5,0.618,6,173333,-7.616,0.66,1,Saske,Dokimase Ton,59,1
0.553,0.106,171.914,0.0943,0.599,4.56e-06,4,0.504,1,257953,-9.163,0.435,1,Hikaru Utada,君に夢中,73,1
0.465,0.303,89.087,0.0791,0.524,1.02e-06,3,0.449,0,198371,-8.964,0.543,1,Giveon,Heartbreak Anniversary,87,1
0.511,0.0379,113.046,0.161,0.042,0.00107,4,0.944,5,203787,-10.96,0.842,0,Ciara,"One, Two Step (feat. Missy Elliott)",76,1
0.728,0.149,130.049,0.0484,0.0847,0.0,4,0.841,7,243837,-3.37,0.43,1,Travis Scott,goosebumps,87,1
0.392,0.143,117.85,0.0283,0.637,0.0,4,0.591,8,275321,-9.737,0.354,1,Terence Lam,下一位前度 in Ab major,54,1
0.489,0.172,102.04,0.0525,0.163,0.0,4,0.662,5,195881,-7.067,0.506,1,Kygo,Love Me Now (feat. Zoe Wees),79,1
0.534,0.0984,94.984,0.142,0.467,0.0,4,0.843,1,173053,-6.658,0.528,0,Emilia,Como Si No Importara,82,1
0.825,0.0936,118.091,0.0325,0.0215,2.44e-05,4,0.65,0,191014,-4.645,0.593,1,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),91,1
0.615,0.104,99.817,0.104,0.379,0.0,4,0.695,4,181880,-4.194,0.532,1,Hailee Steinfeld,Starving,0,1
0.939,0.285,124.957,0.196,0.083,1.01e-06,4,0.805,0,126720,-5.39,0.565,1,MASNY BEN,LOUDA,73,1
0.465,0.149,113.82,0.0314,0.643,1.57e-06,4,0.599,4,230880,-4.95,0.0678,1,Zoe Wees,Control,80,1
0.49,0.126,123.955,0.0537,0.526,0.000142,4,0.743,4,140323,-11.258,0.269,0,Viktor Sheen,Sklo,65,1
0.609,0.139,128.008,0.0791,0.0928,0.0,4,0.918,10,231400,-5.64,0.304,0,Flo Rida,Low (feat. T-Pain),83,1
0.771,0.102,99.048,0.0483,0.0237,7e-06,4,0.676,8,207133,-3.675,0.569,1,Harry Styles,Adore You,86,1
0.887,0.0811,122.015,0.0361,0.016,0.000503,4,0.807,1,229184,-4.311,0.606,0,Calvin Harris,Giant (with Rag'n'Bone Man),76,1
0.654,0.127,180.11,0.279,0.249,0.0,4,0.716,8,186833,-6.702,0.958,0,Calibre 50,Cuidando El Territorio,81,1
0.68,0.103,179.923,0.37,0.0575,0.000683,4,0.796,10,176143,-5.555,0.71,0,Ryan Castro,Jordan,76,1
0.513,0.12,141.894,0.223,0.085,0.0,4,0.716,5,158118,-10.159,0.8,0,A1 x J1,Latest Trends,77,1
0.421,0.323,139.993,0.0378,0.5,0.0,4,0.545,4,241711,-7.617,0.161,1,棉子,勇气,66,1
0.747,0.11,126.014,0.0889,0.0239,8.23e-06,4,0.773,5,246240,-4.061,0.8,1,Little Mix,Shout Out to My Ex,3,1
0.862,0.192,119.991,0.0965,0.0923,0.0,4,0.645,11,229773,-4.757,0.798,0,BTS,Boy With Luv (feat. Halsey),83,1
0.518,0.0811,122.765,0.0325,0.419,0.0,4,0.448,1,297000,-8.849,0.288,1,Jer 柳應廷,砂之器,58,1
0.553,0.0847,99.999,0.042,0.409,0.0,4,0.68,0,198221,-7.116,0.352,1,Dermot Kennedy,Better Days,80,1
0.52,0.222,102.998,0.0656,0.45,1.97e-06,4,0.741,8,171030,-7.513,0.347,1,Sam Smith,Dancing With A Stranger (with Normani),79,1
0.446,0.111,139.994,0.0332,0.308,0.00077,4,0.627,2,182080,-9.477,0.11,0,Khalid,Free Spirit,68,1
0.674,0.111,148.127,0.0818,0.118,0.0,4,0.561,4,208733,-4.882,0.383,0,Shawn Mendes,Mercy,0,1
0.714,0.0843,101.969,0.111,0.0353,8.42e-06,4,0.664,7,197933,-6.645,0.71,0,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,78,1
0.646,0.108,176.089,0.317,0.152,1.85e-05,4,0.754,7,242573,-5.795,0.429,1,J Balvin,LA CANCIÓN,85,1
0.488,0.154,171.9,0.135,0.0508,0.0,4,0.692,7,114419,-10.96,0.299,0,AP Dhillon,TERE TE,77,1
0.859,0.847,77.005,0.121,0.0144,0.0,4,0.584,8,236883,-5.616,0.369,1,Trippie Redd,Miss The Rage (feat. Playboi Carti),83,1
0.604,0.353,134.052,0.0385,0.0612,0.0,3,0.677,7,235947,-5.32,0.297,1,Ariana Grande,Dangerous Woman,0,1
0.717,0.149,94.984,0.0822,0.0842,0.0,4,0.837,5,176233,-7.749,0.494,0,AP Dhillon,Excuses,72,1
0.564,0.0874,95.95,0.047,0.0266,0.0,4,0.712,8,207747,-6.527,0.411,1,Pia Mia,Do It Again,75,1
0.559,0.138,72.498,0.0358,0.0145,0.0,4,0.559,11,220780,-6.425,0.338,1,Troye Sivan,Angel Baby,78,1
0.681,0.0425,138.095,0.354,0.123,3.36e-05,3,0.641,0,190012,-6.418,0.836,1,Stromae,Santé,79,1
0.862,0.0889,115.021,0.0622,0.0715,5.58e-06,4,0.744,0,203653,-3.446,0.688,1,Camila Cabello,Oh Na Na,80,1
0.748,0.603,89.99,0.0679,0.0594,0.0,4,0.748,1,191125,-6.05,0.544,1,Callejero Fino,Pa Tra Rkt,75,1
0.754,0.109,89.888,0.076,0.17,3.76e-05,4,0.625,6,239797,-4.158,0.746,0,Anuel AA,Súbelo,73,1
0.606,0.253,93.089,0.193,0.408,7.13e-06,4,0.57,2,198187,-6.731,0.536,1,Marracash,LORO,76,1
0.675,0.0595,96.507,0.214,0.542,1.28e-05,4,0.903,11,417920,-3.445,0.442,0,Nio Garcia,Te Boté - Remix,78,1
0.76,0.13,82.54,0.0556,0.233,0.0,4,0.68,1,176773,-4.866,0.709,0,Rkomi,NUOVO RANGE (con SFERA EBBASTA),77,1
0.666,0.0683,102.977,0.0612,0.134,2.12e-05,4,0.655,5,181812,-5.309,0.272,1,Avicii,Lonely Together (feat. Rita Ora),56,1
0.531,0.125,149.393,0.0384,0.393,0.0016,4,0.678,0,216265,-10.92,0.574,1,Ardhito Pramono,bitterlove,65,1
0.896,0.317,111.987,0.0619,0.0352,0.0,4,0.777,4,211773,-4.467,0.843,1,Little Mix,Black Magic,2,1
0.562,0.0816,130.098,0.0352,0.233,0.0,4,0.675,7,256533,-7.678,0.309,1,Post Malone,White Iverson,78,1
0.689,0.315,82.987,0.0266,0.241,2.94e-05,4,0.505,9,199834,-6.51,0.15,0,Mavi Gri,Altüst Olmuşum,74,1
0.56,0.109,93.989,0.0288,0.148,1.51e-05,4,0.626,0,244005,-5.82,0.229,0,Imagine Dragons,Wrecked,81,1
0.636,0.0779,100.01,0.191,0.279,0.00068,4,0.909,10,237900,-6.659,0.554,1,El Taiger,La Historia,77,1
0.802,0.307,127.008,0.188,0.0244,0.00874,4,0.837,4,188273,-6.507,0.453,0,Sivas,Oui,53,1
0.499,0.342,111.016,0.118,0.0147,2.44e-06,4,0.811,5,200680,-7.161,0.466,0,Selena Gomez,Hands To Myself,71,1
0.533,0.137,139.862,0.0519,0.745,0.0,4,0.69,5,279857,-5.256,0.591,1,Hoang Dung,Thói Quen (25 Mét Vuông) [feat. Gducky],54,1
0.696,0.164,137.822,0.133,0.206,0.0,4,0.678,2,239293,-4.79,0.254,1,Machine Gun Kelly,Bad Things (with Camila Cabello),0,1
0.344,0.0916,135.904,0.0495,0.922,0.00298,4,0.663,0,240000,-14.025,0.469,1,W/N,3107 3,61,1
0.699,0.486,82.499,0.0378,6.52e-05,6.05e-05,4,0.584,1,212400,-6.065,0.585,0,Sugababes,About You Now,69,1
0.475,0.114,175.912,0.0335,0.618,0.0,4,0.458,3,219874,-6.631,0.211,1,阿冗,你的答案,65,1
0.788,0.0753,170.019,0.0785,0.0482,0.0,4,0.681,1,220117,-4.323,0.839,1,Piso 21,Déjala Que Vuelva (feat. Manuel Turizo),73,1
0.679,0.0658,104.976,0.0699,0.56,0.0,4,0.786,11,210286,-6.171,0.58,0,Văn Mai Hương,Hương (feat. Negav),58,1
0.659,0.111,189.558,0.0596,0.253,0.0,4,0.258,5,250267,-5.903,0.272,0,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",64,1
0.82,0.933,108.394,0.119,0.611,0.0,4,0.608,6,169772,-3.689,0.673,1,Henrique & Juliano,Acordo - Ao Vivo,80,1
0.706,0.105,106.52,0.0312,0.0833,0.0,4,0.689,1,226268,-4.48,0.623,0,Tom Grennan,Little Bit of Love,75,1
0.834,0.355,95.053,0.0437,0.3,1.77e-05,4,0.751,1,211160,-5.444,0.894,0,Britney Spears,Oops!...I Did It Again,80,1
0.535,0.0982,123.042,0.0336,0.0131,3.65e-05,4,0.749,4,196607,-6.785,0.601,1,Charlie Puth,Cheating on You,81,1
0.938,0.164,169.9,0.0602,0.216,1.69e-06,4,0.644,8,188096,-3.643,0.748,1,Paulo Pires,Ameaça,86,1
0.711,0.0698,91.938,0.112,0.112,1.75e-06,4,0.764,9,212629,-4.017,0.798,1,FMK,Prende la Cámara RMX,73,1
0.524,0.0787,106.985,0.0535,0.629,0.0,4,0.8,10,206361,-8.313,0.486,1,PUNYARB,คำถาม,66,1
0.779,0.096,169.966,0.248,0.0306,0.0,4,0.607,8,217412,-5.923,0.875,0,Galena,Ти не си за мен,48,1
0.86,0.0674,175.896,0.182,0.422,0.000284,4,0.725,1,230125,-3.726,0.791,1,Aventura,Volví,92,1
0.768,0.334,139.982,0.134,0.234,0.0,4,0.819,8,185131,-8.522,0.964,1,Silentó,Watch Me (Whip / Nae Nae),0,1
0.738,0.109,120.006,0.0434,0.0086,0.0,4,0.64,1,192500,-7.464,0.383,1,Funzo & Baby Loud,INMORTALES,76,1
0.471,0.125,170.084,0.157,0.122,0.0,4,0.646,10,232813,-9.247,0.455,1,Emmy Meli,I AM WOMAN,84,1
0.727,0.252,120.05,0.166,0.316,0.0,4,0.696,2,173283,-4.516,0.786,0,Donnie,Bon Gepakt,75,1
0.727,0.136,106.995,0.0568,0.117,2.87e-05,4,0.89,4,149720,-4.049,0.723,0,ALEE,Nincsen gond,63,1
0.887,0.0756,91.121,0.23,0.484,0.0,4,0.687,0,145541,-5.585,0.59,0,Oxxxymiron,Дрейдл,63,1
0.515,0.125,64.195,0.0322,0.498,0.0,4,0.333,10,166208,-8.632,0.314,1,Sigurður Guðmundsson,Það snjóar,45,1
0.888,0.0406,160.08,0.041,0.148,0.0,4,0.747,3,131067,-4.434,0.972,0,DG e Batidão Stronda,Sem Sentimento,83,1
0.706,0.0692,125.546,0.312,0.151,0.0,5,0.589,5,157102,-5.033,0.711,0,Artigeardit,"Er Her (Artigeardit, KESI)",61,1
0.509,0.116,157.022,0.153,0.423,7.74e-05,4,0.721,6,199961,-9.356,0.317,0,Ninho,Vérité,76,1
0.656,0.109,94.87,0.105,0.065,0.0,4,0.592,0,219803,-6.03,0.417,1,Mads Langer,Tag Mig Med - Fra julekalenderen 'Theo og Den Magiske Talisman',59,1
0.626,0.115,116.976,0.286,0.198,0.0,4,0.862,0,208646,-11.215,0.542,1,DMS,Tanečná pesnička,51,1
0.708,0.0937,86.221,0.426,0.203,0.00145,4,0.826,0,159480,-7.779,0.651,1,Kaleb Di Masi,Matatan,66,1
0.512,0.056,123.991,0.0333,0.592,0.0,4,0.56,1,254516,-7.185,0.39,0,Arijit Singh,Pal Pal Dil Ke Paas- Title Track,74,1
0.792,0.92,154.027,0.0393,0.607,2.36e-05,4,0.65,6,225672,-3.825,0.872,0,Matheus Fernandes,Baby Me Atende,77,1
0.74,0.331,128.005,0.216,0.0116,0.000517,4,0.883,9,185625,-6.005,0.809,1,Kris Winther,Barock 2021 (Nesbrurussen),65,1
0.593,0.0877,100.967,0.25,0.135,0.0,4,0.579,0,211188,-6.369,0.359,0,Mad Clip,Mporei,62,1
0.871,0.111,135.032,0.0286,0.266,1.24e-06,4,0.769,10,191333,-4.717,0.97,1,Daviles de Novelda,Flamenco y Bachata,73,1
0.786,0.186,116.032,0.0319,0.456,0.616,4,0.72,11,277457,-7.396,0.488,1,Hindia,Rumah Ke Rumah,70,1
0.398,0.108,127.809,0.0294,0.734,0.0,4,0.668,0,216000,-6.971,0.538,1,Mike 曾比特,我不如,58,1
0.214,0.341,94.775,0.0375,0.908,7.47e-06,3,0.339,4,206640,-11.714,0.363,1,Michael Bublé,It's Beginning to Look a Lot like Christmas,77,1
0.225,0.128,81.055,0.0348,0.767,0.00349,3,0.332,0,298899,-8.697,0.297,1,Billie Eilish,Happier Than Ever,94,1
0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.366,0.401,0,Lil Uzi Vert,XO Tour Llif3,85,1
0.558,0.193,107.681,0.0307,0.751,0.0,4,0.678,9,290333,-8.633,0.754,1,Triad,Tänd ett ljus,68,1
0.782,0.0594,115.082,0.119,0.278,0.0,4,0.822,9,150277,-4.836,0.904,0,VALMAR,Éget a nap,56,1
0.546,0.0723,143.994,0.0357,0.397,0.000398,4,0.783,4,275080,-10.531,0.572,1,L.A.B.,Controller,61,1
0.504,0.0975,123.065,0.492,0.201,0.0,3,0.704,1,151429,-9.121,0.298,0,Viktor Sheen,Baby Shark,63,1
0.526,0.0742,188.095,0.179,0.0319,0.0,4,0.706,8,166160,-5.326,0.507,1,Oxxxymiron,Мы все умрем,69,1
0.903,0.169,139.98,0.21,0.258,0.0,4,0.785,2,193234,-4.184,0.565,1,Playboi Carti,Sky,88,1
0.6,0.0712,125.04,0.0685,0.106,0.0,4,0.951,0,218573,-4.675,0.822,0,Sean Paul,Temperature,80,1
0.4,0.115,74.213,0.0259,0.244,9.01e-06,4,0.405,0,267533,-11.163,0.303,1,Lojzo,Každý deň budú vraj Vianoce,46,1
0.448,0.0825,119.965,0.0551,0.226,0.0,4,0.758,1,133985,-6.547,0.607,0,дора,Дорадура,66,1
0.896,0.344,101.216,0.058,0.0342,3.21e-05,3,0.67,1,160000,-4.673,0.403,1,Gabry Ponte,Thunder,86,1
0.555,0.164,141.746,0.0315,0.477,0.0,4,0.614,5,198165,-7.794,0.928,0,Rodolfo Aicardi,Daniela,51,1
0.111,0.0897,82.642,0.0972,0.978,3.97e-05,4,0.367,4,196077,-14.084,0.198,1,Billie Eilish,when the party's over,84,1
0.521,0.0565,100.45,0.33,0.301,0.0,4,0.692,10,292987,-8.465,0.463,0,J. Cole,No Role Modelz,87,1
0.531,0.11,148.214,0.134,0.712,0.00122,4,0.568,5,170000,-8.088,0.435,0,Eladio Carrion,Flores en Anónimo,68,1
0.585,0.248,109.978,0.094,0.237,0.0,4,0.83,0,173711,-6.476,0.485,1,Ariana Grande,34+35,85,1
0.884,0.0973,120.012,0.0404,0.00795,5.87e-05,4,0.757,10,217907,-5.488,0.398,0,Selena Gomez,Kill Em With Kindness,68,1
0.631,0.127,120.002,0.099,0.00542,2.54e-06,4,0.875,1,272080,-3.475,0.549,1,The Pussycat Dolls,Don't Cha,0,1
0.315,0.121,122.052,0.034,0.742,0.0,4,0.711,0,195424,-11.211,0.232,1,Terence Lam,一人之境 in C major,57,1
0.859,0.664,109.905,0.057,0.0148,1.84e-06,4,0.741,5,265973,-2.223,0.611,1,Christina Aguilera,Lady Marmalade,0,1
0.266,0.0938,139.977,0.34,0.327,0.0,4,0.815,1,162027,-8.742,0.628,1,Luciano,SUVs,73,1
0.405,0.346,123.982,0.0594,0.734,0.0,4,0.647,4,225918,-9.208,0.166,1,Jace Chan,沒有無緣無故的恨,57,1
0.677,0.111,100.584,0.093,0.0762,2.17e-05,4,0.735,2,211440,-4.979,0.188,1,The Weeknd,Pray For Me (with Kendrick Lamar),71,1
0.542,0.141,97.006,0.0307,0.476,0.000196,4,0.704,2,222314,-4.663,0.386,0,Lynk Lee,Buồn Thì Cứ Khóc Đi,60,1
0.421,0.115,139.921,0.416,0.255,0.0,4,0.869,5,135520,-9.09,0.667,0,Mohelá,Lotta & Sanna,61,1
0.836,0.0817,133.16,0.317,0.537,0.0,4,0.718,11,119206,-4.654,0.391,1,UZI,CINDY,78,1
0.653,0.107,150.058,0.0902,0.0282,0.000784,4,0.806,8,200690,-6.283,0.85,1,LISA,LALISA,82,1
0.372,0.144,94.994,0.453,0.554,0.0,4,0.862,0,202478,-10.909,0.494,0,Standly,Mi Gata,64,1
0.787,0.262,119.986,0.0583,0.198,0.0,4,0.77,11,140500,-3.748,0.513,0,Tiësto,Don't Be Shy,91,1
0.741,0.189,98.024,0.0536,0.141,0.0,4,0.658,7,202213,-2.86,0.789,0,Zara Larsson,Lush Life,0,1
0.558,0.436,76.975,0.0273,0.0298,1.77e-06,4,0.314,4,231227,-6.791,0.353,1,Anne Grete Preus,Når himmelen faller ned,62,1
0.49,0.113,81.604,0.209,0.289,3.04e-06,4,0.83,1,247059,-8.82,0.845,0,Drake,Toosie Slide,73,1
0.538,0.116,136.006,0.0255,0.128,0.0141,4,0.504,0,271765,-8.745,0.138,1,Blackbeans,Wish,65,1
0.666,0.144,129.814,0.0393,0.4,0.0,4,0.547,6,239795,-5.694,0.43,1,831,"想見你想見你想見你(電視劇""想見你""片尾曲)",66,1
0.733,0.242,102.211,0.203,0.176,0.0,4,0.599,11,162583,-7.058,0.534,1,Lauv,i'm so tired...,0,1
0.569,0.136,104.017,0.154,0.0222,4.46e-05,4,0.89,7,231507,-6.192,0.552,0,Scriptonite,Baby mama,71,1
0.293,0.0787,91.511,0.0446,0.941,0.0,4,0.508,5,328050,-7.47,0.395,1,HONNE,Location Unknown ◐ (feat. BEKA) - Brooklyn Session,49,1
0.819,0.334,101.044,0.0433,0.00312,0.000343,4,0.648,2,255600,-4.657,0.547,0,Haloo Helsinki!,Tulikärpäset,55,1
0.537,0.334,90.033,0.0378,0.533,0.0,4,0.712,11,204215,-8.964,0.218,1,大籽,白月光与朱砂痣,65,1
0.626,0.0848,100.041,0.0432,0.0969,3.12e-05,4,0.774,3,211475,-4.432,0.777,0,Charlie Puth,Attention,3,1
0.965,0.726,128.003,0.105,0.15,1.38e-06,4,0.707,1,208271,-0.736,0.777,1,Ado,踊,76,1
