energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.693,0.719,125.038,0.0364,0.185,1.18e-06,4,0.66,1,169110,-6.33,0.575,0,twocolors,Feel It 2,0
0.454,0.168,153.612,0.149,0.359,3.12e-06,4,0.656,4,240075,-9.4,0.707,0,Marc E. Bassy,Crash for a Couple,0
0.653,0.129,124.0,0.271,0.054,0.00171,4,0.786,9,214466,-8.399,0.562,1,KYLE,Perfect,0
0.53,0.105,89.593,0.119,0.314,0.0,4,0.728,1,193222,-7.848,0.425,0,IV4,Only Fans,0
0.778,0.05,95.003,0.0359,0.00537,0.0,4,0.706,1,132966,-6.985,0.679,0,MILES,DIVA,0
0.836,0.111,119.019,0.301,0.126,0.0,4,0.906,8,220043,-3.457,0.673,0,Jim Jones,We Set The Trends,0
0.334,0.115,181.296,0.304,0.776,0.0,4,0.378,1,144667,-10.993,0.496,1,Sadie Jean,WYD Now?,0
0.627,0.125,109.913,0.276,0.0203,0.0,5,0.585,4,212204,-6.602,0.288,0,Juice WRLD,Feline (with Polo G & Trippie Redd),0
0.249,0.0858,75.971,0.0403,0.494,0.0,4,0.732,10,205312,-9.784,0.372,0,Bahari,All Around Me,0
0.318,0.0633,113.075,0.0302,0.888,0.0,4,0.648,7,188980,-8.809,0.68,1,Julia Wolf,Bottle of Advil,6
0.729,0.1,122.023,0.0496,0.083,0.0,4,0.673,6,169672,-4.879,0.675,1,Sam Feldt,Follow Me,0
0.449,0.0816,153.969,0.252,0.101,0.00846,4,0.676,2,279326,-9.054,0.342,1,Lucky Daye,Candy Drip,47
0.886,0.142,199.786,0.0977,0.000271,0.000208,4,0.384,4,138000,-5.557,0.435,0,Siiickbrain,Overdrive,0
0.351,0.157,171.719,0.0648,0.777,0.0,4,0.497,1,184242,-9.048,0.234,0,Pink Sweat$,Midnight River (feat. 6LACK),0
0.639,0.0956,87.938,0.0404,0.348,0.0,4,0.679,1,129649,-5.37,0.369,0,Kidd G,Last October,0
0.268,0.14,139.973,0.0255,0.674,0.00811,4,0.546,0,171931,-13.547,0.236,1,Mitski,Heat Lightning,61
0.803,0.0907,96.021,0.0471,0.0587,0.0,4,0.633,9,175241,-6.306,0.353,1,Astrid S,Pretty,0
0.477,0.106,89.726,0.0284,0.226,3.78e-06,4,0.552,5,211664,-4.078,0.413,1,Chloe George,The Door,0
0.601,0.133,166.026,0.24,0.157,1.38e-05,4,0.626,8,231518,-7.455,0.272,1,will hyde,when u need me.,0
0.848,0.633,128.946,0.103,0.629,0.0102,4,0.747,9,187107,-4.081,0.7,1,Jean Dawson,MENTHOL*,0
0.81,0.122,155.207,0.0903,0.0552,0.0,4,0.626,2,165672,-5.179,0.521,1,Lost Kings,Broken In All The Right Places,0
0.494,0.132,83.835,0.0401,0.59,0.000186,4,0.541,9,266220,-7.68,0.212,1,Wrabel,london (with Cam),0
0.253,0.12,145.05,0.302,0.567,0.576,4,0.638,4,144585,-10.232,0.537,1,Cruza,Brewster,8
0.694,0.0878,90.02,0.0783,0.356,0.00125,4,0.869,1,224997,-3.35,0.511,0,Rauw Alejandro,Desesperados,0
0.729,0.226,112.535,0.029,0.000983,0.000107,4,0.673,0,233588,-5.664,0.482,1,Ruel,GROWING UP IS ____,0
0.503,0.133,104.979,0.0457,0.103,4.61e-06,4,0.633,4,216884,-5.435,0.202,0,HYRA,Bad Bad Place,0
0.788,0.374,95.156,0.162,0.0253,0.000109,4,0.727,1,134842,-5.023,0.736,1,Stefflon Don,Beg Mi Ah Link,0
0.895,0.125,175.012,0.0529,0.00522,0.893,4,0.616,6,102327,-5.351,0.894,1,ElyOtto,THE COPS,0
0.86,0.137,208.829,0.342,0.426,0.000342,4,0.334,1,253579,-3.595,0.508,1,Nnena,Come Again (feat. WESTSIDE BOOGIE),0
0.306,0.108,76.97,0.368,0.13,0.0,4,0.839,4,103375,-10.639,0.188,0,2FeetBino,Naked,0
0.718,0.148,87.103,0.0314,0.0799,0.000249,4,0.492,0,220386,-8.229,0.37,1,Sipper,fine,0
0.37,0.386,179.815,0.0445,0.808,3.3e-06,3,0.455,2,179373,-8.485,0.178,1,Alicia Keys,Old Memories (Originals),0
0.548,0.0979,94.015,0.0586,0.101,0.000371,4,0.836,4,163499,-5.144,0.486,0,Wiz Khalifa,Blacc Tarantino,0
0.557,0.345,159.91,0.0413,0.354,1.53e-06,4,0.616,11,155567,-5.871,0.626,0,Austin George,Hands On You,0
0.661,0.106,108.0,0.173,0.304,0.0,4,0.94,1,196734,-6.009,0.837,1,Bankrol Hayden,No Drama,0
0.577,0.647,83.434,0.276,0.0887,0.0,4,0.575,0,202581,-5.064,0.505,1,PnB Rock,Eyes Open (feat. Lil Baby & Young Thug),0
0.717,0.25,201.954,0.0466,0.21,0.0,4,0.378,4,126830,-6.454,0.427,0,midwxst,Bluffing,37
0.523,0.0461,83.977,0.0495,0.0824,0.0893,4,0.609,6,194222,-9.503,0.608,0,Baird,Darkness Of The Night,17
0.549,0.098,93.558,0.0549,0.589,0.0,3,0.345,11,232849,-6.286,0.285,1,The WRLDFMS Tony Williams,Anymore,0
0.393,0.119,140.133,0.0502,0.443,3.55e-05,4,0.479,7,253968,-7.883,0.208,1,Abby Cates,saw ur mom at the grocery store,0
0.843,0.16,125.982,0.0616,0.00623,0.0,4,0.46,2,217262,-5.164,0.276,0,Martin Garrix,Won’t Let You Go,0
0.793,0.1,98.219,0.446,0.162,0.0,4,0.724,7,219660,-6.081,0.773,1,Russ,Faith,49
0.568,0.124,91.029,0.0665,0.388,1.12e-05,4,0.83,8,171662,-4.636,0.646,1,Micro TDH,NEGRO MATE,0
0.447,0.0951,106.903,0.0337,0.944,0.117,4,0.694,10,199712,-10.454,0.349,1,Maya Hawke,Blue Hippo,29
0.85,0.118,180.027,0.0987,0.00675,0.000985,4,0.491,3,221827,-4.755,0.648,1,Tame Impala,No Choice,60
0.712,0.132,174.653,0.544,0.0823,0.0,4,0.426,1,119007,-6.367,0.785,1,sadeyes,poison,0
0.492,0.144,152.035,0.235,0.284,2.51e-06,4,0.456,4,213740,-9.089,0.342,0,Mamadou.,Hues.,13
0.764,0.133,123.596,0.0282,0.324,0.0,4,0.608,7,237827,-6.03,0.762,1,Old Crow Medicine Show,Paint This Town,13
0.744,0.121,109.986,0.106,0.0819,0.0,4,0.833,8,131621,-5.655,0.786,0,Cobra Starship,Party With You,31
0.735,0.338,104.77,0.0548,0.0768,0.164,4,0.73,7,274391,-10.572,0.693,1,Khruangbin,B-Side,45
0.88,0.0777,94.985,0.0577,0.0237,0.0,4,0.818,6,144987,-2.411,0.686,0,Feid,FRIKI,0
0.763,0.134,155.003,0.0812,0.0931,0.0,4,0.784,2,188713,-3.8,0.47,1,Tierra Whack,Body Of Water,0
0.742,0.0747,119.989,0.0555,0.0654,0.0119,4,0.721,7,167500,-8.468,0.511,1,Coco & Breezy,Lemme See,0
0.567,0.34,147.982,0.331,0.101,0.0,4,0.852,6,179707,-8.367,0.881,0,Tm88,Pop Out,0
0.389,0.114,82.007,0.0502,0.797,0.0,4,0.472,7,160000,-10.068,0.512,1,Jake Cornell,Back To You,36
0.593,0.0799,131.908,0.0318,0.119,0.0,4,0.657,10,181267,-8.175,0.346,1,good problem,Heart In A Cold Room,0
0.835,0.114,103.996,0.0294,0.00137,1.09e-06,4,0.662,6,202956,-4.424,0.714,1,Bad Suns,Peachy,38
0.489,0.298,172.674,0.0482,0.16,0.0222,3,0.386,1,217222,-9.281,0.0493,0,Juice WRLD,Burn,0
0.554,0.0888,93.054,0.0284,0.8,0.0,4,0.65,2,164101,-7.199,0.581,0,Lil Mosey,Not The Same God As Mine,0
0.859,0.0859,144.995,0.0352,3.41e-05,0.0,4,0.549,1,174568,-5.325,0.351,1,jxdn,CRACK MY SKULL,0
0.589,0.349,87.535,0.284,0.0137,0.0,4,0.801,5,191927,-7.233,0.548,0,Hotboii,I Really (feat. 42 Dugg & Moneybagg Yo),0
0.263,0.103,90.992,0.044,0.655,0.0345,3,0.678,9,192857,-18.118,0.18,1,Fana Hues,Breakfast,0
0.462,0.118,164.042,0.0478,0.876,0.000107,4,0.602,1,196607,-9.339,0.326,1,Joy Oladokun,Count On Me,0
0.672,0.332,140.053,0.0619,0.169,5.97e-06,4,0.717,10,232662,-6.085,0.357,0,Preme,Hopscotch,0
0.735,0.0854,130.895,0.377,0.285,0.0,5,0.579,9,177463,-8.299,0.269,1,Stunna Gambino,Man Down,0
0.751,0.252,130.954,0.0877,0.00283,0.457,4,0.496,10,166840,-7.307,0.255,0,Alice Glass,FAIR GAME,35
0.625,0.117,149.953,0.309,0.011,0.0,4,0.803,6,309570,-6.287,0.699,1,EARTHGANG,American Horror Story,39
0.425,0.301,123.975,0.106,0.032,0.0,4,0.839,10,162581,-8.134,0.429,0,2KBABY,Postman,0
0.844,0.743,75.975,0.251,0.0194,0.0,4,0.669,5,172571,-2.166,0.412,0,Rick Ross,Richer Than I Ever Been,0
0.39,0.0971,126.856,0.0627,0.795,0.0836,4,0.546,9,176866,-10.685,0.545,1,Otis Kane,Spaces,0
0.653,0.0554,92.007,0.0988,0.138,0.0016,4,0.682,6,114845,-7.043,0.682,0,LIL DUSTY G,INBETWEEN,0
0.797,0.078,110.045,0.0515,0.244,0.0,3,0.719,3,197771,-3.89,0.729,1,Grupo Firme,Cada Quien,60
0.309,0.102,105.141,0.466,0.428,9.97e-05,4,0.931,6,87052,-16.596,0.634,1,Fenix Flexin,Dead Homies,0
0.563,0.0839,118.044,0.0412,0.00372,0.0,4,0.586,2,229316,-7.807,0.216,1,Tucker Beathard,Prayin' For You,0
0.609,0.184,149.695,0.14,0.376,0.0,4,0.495,8,161580,-5.584,0.533,1,Lil Boom,Wonder Egg,0
0.525,0.101,126.965,0.0349,0.718,0.00202,4,0.427,0,242150,-9.783,0.3,1,Bon Iver,Second Nature,0
0.891,0.115,146.015,0.0518,0.117,0.000845,4,0.618,7,201975,-4.535,0.75,1,ill peach,DANDELION,7
